number,first_name,last_name,gender,birth_date,employment_status,annual_salary,output
289,Jeryl,Lesch,F,24-05-1971,PE,144888,no
307,Percival,Flatley,F,11-12-1982,PE,67961,yes
982,Riley,Orn,,09-01-1978,PE,82041,yes
679,Katelin,Huels,M,17-12-1996,PE,65039,yes
700,Jaiden,Hirthe,M,26-09-1970,CA,62770,yes
911,Hildred,McKenzie,M,23-03-1970,PE,98515,yes
428,Mansfield,Mosciski,,22-03-1986,PE,135099,no
609,Alana,Gaylord,F,27-10-1976,,71825,yes
442,Kyrie,Sanford,M,15-04-1992,PE,75514,yes
238,Addison,Sanford,,20-09-1977,CA,111234,no
969,Marget,West,M,11-10-1979,PE,79230,yes
245,Gladis,Yost,,30-12-1996,PE,74821,yes
72,Laisha,Collier,F,23-10-1981,PE,131899,no
829,Shade,Runte,M,08-11-1991,PE,56935,yes
900,Kate,Blick,F,10-05-1975,CA,90927,yes
586,Barton,Stokes,F,10-05-1991,PE,97214,yes
482,Anibal,Dare,M,23-05-1986,TE,149219,no
932,Lucia,Bogan,M,27-10-1994,PE,137985,no
337,Omar,Beier,M,22-01-1977,,125879,no
561,Kari,Conn,F,19-01-1980,,58570,yes
22,Rashawn,Wyman,M,06-05-1995,,56155,yes
357,Darby,Herzog,M,24-05-1980,CA,72575,yes
990,Maryellen,Stanton,,26-09-1993,PE,80038,yes
151,Ephram,Lindgren,M,10-12-1994,CA,130053,no
629,Broderick,Mills,F,25-04-1986,PE,104727,no
725,Lance,Ratke,M,03-08-1979,PE,84832,yes
349,Kamora,Bednar,,24-07-1988,PE,72137,yes
241,Jaclyn,O'Connell,F,30-01-1993,PE,126787,no
845,Kayleen,Hodkiewicz,F,29-05-1986,,58755,yes
194,Trilby,Hartmann,F,11-01-1979,PE,118209,no
429,Ernie,Harber,M,15-10-1997,PE,70102,yes
38,Duke,Krajcik,M,29-09-1977,PE,136383,no
687,Columbia,Pacocha,F,04-10-1994,PE,129147,no
928,Furman,Kiehn,F,03-01-1974,,59444,yes
914,Phylicia,Gerlach,,18-12-1996,CA,146603,no
840,Vassie,Turcotte,F,22-05-1999,PE,138513,no
655,Trey,Conn,F,21-04-1978,PE,118809,no
143,Ilo,Mohr,F,08-01-1985,PE,106096,no
309,Wilfred,Willms,M,19-07-1998,,108311,no
638,Crockett,Zieme,,25-08-1978,PE,86551,yes
156,Armstead,O'Kon,F,07-08-1984,PE,75042,yes
516,Chuck,Watsica,M,24-02-1984,,135153,no
138,Nannette,Wintheiser,,05-10-1985,PE,124371,no
845,Shellie,Zboncak,M,27-08-1988,PE,80332,yes
312,Rylie,Bode,M,05-03-1978,PE,146229,no
971,Phebe,Turcotte,F,07-08-1988,,141422,no
420,Judi,Daugherty,F,23-07-1980,PE,56124,yes
442,Lavon,Kunze,M,29-05-1991,PE,86608,yes
745,Norine,Bode,,02-10-1994,,112224,no
592,Camisha,Casper,,02-07-1994,,59113,yes
144,Stanford,Roberts,,14-11-1996,PE,147941,no
850,Jeffry,Kreiger,M,07-04-1983,PE,79429,yes
754,Elige,Rempel,M,11-12-1976,PE,84343,yes
444,Justus,Ullrich,M,17-01-1981,TE,90633,yes
657,Juana,Russel,F,08-07-1991,,142237,no
835,Zelia,Lakin,M,02-07-1989,CA,125912,no
503,Socorro,Barrows,M,06-08-1976,PE,135162,no
287,Jory,Tromp,F,06-06-1985,PE,133805,no
463,Ellison,Bednar,F,10-03-1984,PE,81377,yes
355,Theodis,Ruecker,F,28-06-1990,PE,126923,no
829,Halley,Armstrong,M,15-07-1972,PE,96508,yes
130,Merwin,O'Keefe,,07-09-1981,TE,95193,yes
185,Quint,Halvorson,M,24-11-1978,TE,56029,yes
527,Terrance,Schroeder,F,02-06-1989,PE,76154,yes
850,Darryle,Stracke,,03-06-1978,TE,77865,yes
763,Effa,Senger,F,24-07-1974,TE,143664,no
45,Tilman,Welch,F,24-05-1973,PE,114153,no
45,Manilla,Daniel,M,06-07-1980,,89318,yes
88,Gustie,Feest,M,29-12-1976,PE,130311,no
202,Brandon,Yost,F,22-01-1993,PE,84858,yes
327,Byrd,Wintheiser,M,01-11-1983,PE,62026,yes
373,Alize,Murazik,F,08-04-1972,,119571,no
663,Rae,Wolf,,13-01-1998,,98996,yes
102,Ramona,Reichert,F,26-02-1977,PE,116332,no
249,Elmer,Reichert,M,09-04-1978,PE,84094,yes
958,Chantel,Shanahan,M,22-05-1992,PE,72408,yes
293,Rob,Hagenes,M,27-01-1997,TE,73762,yes
221,Devonte,Erdman,M,15-09-1985,PE,59567,yes
105,Lucetta,Kemmer,M,22-03-1980,PE,72335,yes
387,Ellsworth,Carter,M,24-07-1979,TE,138540,no
443,Tristin,Shields,F,25-08-1980,PE,97981,yes
683,Wesley,Wiza,F,07-06-1989,PE,68935,yes
144,Gavin,Kuhic,M,20-09-1985,PE,132542,no
583,Camila,Tillman,M,03-04-1977,PE,99941,yes
504,Dorla,Stark,M,14-08-1998,,134767,no
937,Emeline,Klocko,F,29-05-1975,PE,68156,yes
455,Isamar,Grimes,M,10-10-1991,TE,113122,no
303,Dennis,Cole,M,16-04-1993,,147018,no
66,Ott,Huels,M,17-07-1991,,106909,no
813,Rudolf,Paucek,F,07-03-1972,,110663,no
51,Fleda,Botsford,M,14-01-1989,PE,77949,yes
648,Luella,Tromp,M,24-01-1970,PE,55559,yes
911,Landen,Predovic,F,21-06-1988,CA,125038,no
991,Malvina,Cole,F,25-09-1971,PE,66400,yes
301,Garrison,Schulist,M,14-10-1982,PE,109871,no
622,Dakotah,Kirlin,M,05-11-1976,PE,93349,yes
104,Cephus,Botsford,M,11-09-1986,PE,84377,yes
31,Syreeta,Altenwerth,M,28-08-1999,PE,117554,no
828,Magdalena,Reichert,M,02-09-1993,PE,55366,yes
728,Matie,Lubowitz,F,27-04-1984,PE,119788,no
763,Kiara,Gerlach,M,26-11-1984,,108015,no
360,Jasmin,Willms,F,27-08-1982,PE,126649,no
483,Desirae,Frami,F,08-07-1982,PE,105702,no
1,Kitty,Ruecker,F,24-07-1976,PE,90613,yes
512,Cordell,Rempel,F,10-04-1995,PE,120924,no
41,Gladyce,Kovacek,F,24-05-1993,PE,110498,no
102,Stacey,Rice,F,13-02-1975,TE,109856,no
64,Marcello,Yost,M,15-04-1995,PE,59985,yes
569,Angella,Harvey,F,21-01-1988,CA,77758,yes
610,Sidney,Johnson,F,12-12-1990,PE,141549,no
12,Efrain,Harber,,26-01-1995,,57029,yes
709,Loula,Botsford,F,19-01-1995,,100518,no
196,Ebb,Thiel,M,19-10-1982,PE,142036,no
486,Gorden,Vandervort,F,25-10-1977,PE,147202,no
350,Maci,Hilll,F,23-11-1996,,124359,no
222,Goldia,Kulas,F,22-09-1977,PE,145125,no
446,Warren,Corkery,F,09-02-1990,PE,70914,yes
290,Frieda,Barrows,M,27-09-1981,PE,130890,no
784,Vernie,Mann,,02-01-1994,,92651,yes
360,Myles,Ritchie,M,19-01-1979,,69366,yes
686,Harvy,Schmeler,,16-05-1982,PE,136674,no
430,Jaylynn,Kerluke,M,09-10-1997,PE,130936,no
867,Vicente,Veum,,14-04-1971,PE,98806,yes
921,Odis,Stracke,,06-05-1982,TE,86325,yes
898,Kristie,Ullrich,,11-10-1989,PE,108635,no
505,Lue,Von,F,10-12-1986,PE,119230,no
407,Baylie,Conroy,M,17-06-1988,TE,125274,no
951,Farris,Hirthe,M,10-12-1986,,74274,yes
194,Travon,Schmitt,M,07-12-1999,CA,112990,no
132,Esmeralda,Nolan,F,03-11-1996,PE,57474,yes
885,Barnett,Schneider,M,29-05-1980,PE,55153,yes
261,Harley,Conn,M,24-10-1983,PE,98869,yes
95,Hilah,Thompson,,06-05-1984,TE,103413,no
141,Bayard,Bartoletti,M,21-11-1990,CA,115560,no
215,Pasquale,Boyle,M,09-04-1971,CA,132888,no
174,Devin,Reynolds,,15-01-1991,TE,56817,yes
137,Colette,Franecki,,02-06-1990,PE,127923,no
525,Semaj,Rowe,M,07-07-1970,PE,89280,yes
769,Madaline,Hammes,F,24-05-1974,,66521,yes
610,Americo,Hyatt,M,23-09-1985,PE,148119,no
875,Selmer,Vandervort,,10-01-1981,TE,116517,no
410,Orren,Berge,,26-04-1997,TE,132390,no
760,Durwood,Prosacco,M,31-08-1980,CA,114870,no
235,Lakendra,Ruecker,,01-10-1973,PE,73881,yes
946,Mustafa,Kreiger,F,11-03-1983,PE,125503,no
771,Ryleigh,Waters,,11-05-1975,PE,96238,yes
236,Boyd,Hirthe,,29-12-1986,PE,73884,yes
850,Arnulfo,Dickens,F,16-11-1995,PE,135303,no
728,Carmel,Shields,F,08-01-1996,PE,81050,yes
626,Uriah,Schmidt,,08-12-1997,PE,88767,yes
493,Manda,McKenzie,F,07-10-1989,PE,59627,yes
424,Oland,Bradtke,M,07-07-1972,PE,96697,yes
540,Elisha,Haag,,25-01-1984,PE,74124,yes
167,Harmony,Welch,,18-07-1991,PE,83793,yes
54,Clovis,Romaguera,F,14-03-1992,PE,94327,yes
514,Kenny,Shields,M,30-11-1996,PE,133041,no
333,Gidget,Champlin,M,28-04-1975,PE,57584,yes
757,Leota,O'Keefe,M,02-01-1994,,97408,yes
672,Sedrick,Waelchi,F,19-04-1975,TE,92351,yes
885,Estela,Smitham,F,06-04-1992,PE,123140,no
135,Aletha,Konopelski,,18-01-1984,PE,60778,yes
217,Alec,Spinka,M,11-07-1993,PE,62865,yes
94,Davonta,Hoppe,M,22-09-1973,CA,132089,no
384,Felecia,Bednar,M,23-03-1996,,106510,no
536,Edmund,Champlin,F,27-05-1978,PE,117105,no
428,Georgeann,Gislason,F,26-07-1991,CA,133563,no
648,Reina,Roob,M,11-05-1994,,65167,yes
975,Evonne,McGlynn,,23-11-1989,TE,66660,yes
462,Doris,Effertz,M,15-04-1971,,89444,yes
332,Kazuko,Abbott,F,07-02-1990,PE,58642,yes
19,Jalen,Considine,F,09-12-1987,,110155,no
531,Sky,Schowalter,F,17-06-1978,,68018,yes
232,Gaither,Jakubowski,,10-10-1987,PE,65128,yes
530,Sullivan,Mueller,F,24-02-1976,PE,114085,no
763,Virginia,Heaney,F,09-12-1995,TE,110331,no
93,Wells,Wyman,F,29-07-1975,,78807,yes
61,Florian,Beahan,,03-02-1978,PE,98027,yes
285,Merl,Wintheiser,,30-01-1980,PE,130592,no
298,Edwina,Aufderhar,M,08-09-1989,PE,89080,yes
802,Hilton,Nienow,,13-10-1993,TE,75005,yes
172,Valentino,Borer,,16-01-1979,,103891,no
945,Shanelle,Rolfson,F,01-09-1970,CA,140563,no
426,Christop,Frami,M,06-01-1997,,56324,yes
945,Twila,Dickinson,F,15-02-1995,PE,65375,yes
286,Mickey,Hettinger,,02-07-1996,CA,79999,yes
272,Leonora,Kirlin,M,06-10-1987,PE,85853,yes
814,Kendall,Kilback,M,05-09-1984,PE,59078,yes
312,Osborne,Bayer,M,13-08-1990,PE,111836,no
246,Alwilda,Lueilwitz,M,10-07-1999,PE,132499,no
115,Pandora,Goodwin,F,24-04-1975,,139469,no
222,Lucie,Murphy,M,22-05-1991,PE,146587,no
499,Evette,Marquardt,M,26-03-1999,,80151,yes
827,Venie,Becker,M,15-03-1973,TE,148967,no
409,Rhea,Runolfsdottir,M,13-09-1994,PE,98150,yes
992,Aleta,Kessler,F,02-11-1993,PE,94994,yes
106,Bennie,Deckow,F,20-10-1985,PE,86508,yes
858,Larkin,Aufderhar,F,14-11-1997,,113114,no
613,Leva,Berge,M,08-06-1978,PE,90204,yes
242,Milo,Sanford,F,18-12-1973,PE,112077,no
566,Mia,Von,M,11-07-1986,PE,103794,no
532,Sula,Funk,F,06-04-1979,,73487,yes
293,Drury,Weissnat,,29-01-1982,PE,99258,yes
958,Ottis,Wiegand,F,27-09-1977,PE,139409,no
296,Verona,Padberg,M,14-10-1998,,125561,no
171,Christa,Roob,M,17-12-1996,TE,110838,no
962,Walton,Howell,M,01-06-1996,PE,76389,yes
592,Marsha,Price,F,17-11-1982,TE,86095,yes
427,Herbert,Brown,F,21-05-1984,PE,130710,no
896,Efrem,Cronin,,07-05-1989,TE,58196,yes
443,Zadie,Gorczany,M,21-06-1992,,123502,no
240,Melissa,Bode,F,19-07-1986,CA,65725,yes
673,Aubrie,Kuphal,,29-09-1991,PE,148177,no
875,Ione,Jerde,F,05-10-1971,PE,109073,no
843,Lillian,Bogisich,,12-11-1991,PE,72411,yes
986,Elmyra,Mertz,M,15-04-1981,PE,105395,no
482,Fran,Pagac,M,31-12-1992,PE,99065,yes
779,Bernard,Leuschke,,17-08-1980,,62571,yes
1,Kimberley,Kuhic,F,15-05-1990,,110182,no
761,Flor,Schamberger,M,10-05-1984,PE,101162,no
681,Sebrina,Gibson,F,24-03-1991,PE,72679,yes
732,Dandre,Bartoletti,F,16-06-1975,PE,65582,yes
383,Jennie,Feeney,F,05-02-1984,PE,108970,no
764,Marisela,Green,F,03-12-1979,PE,67236,yes
763,Corda,Wehner,M,13-05-1990,CA,77291,yes
563,Draven,Gleichner,F,14-11-1993,PE,109525,no
5,Jamal,Cole,M,31-01-1983,PE,109251,no
411,Jennette,Kemmer,F,10-08-1993,PE,92197,yes
836,Tammy,Nolan,,02-08-1974,TE,127199,no
707,Ewell,Sawayn,F,23-03-1993,PE,117610,no
476,Zack,Koch,F,20-11-1970,PE,109910,no
787,Willow,Shields,F,08-08-1994,PE,80748,yes
808,Katharyn,Boyer,M,28-01-1971,PE,103177,no
202,Delwin,Satterfield,M,08-05-1992,TE,146286,no
917,Jeff,Jacobs,M,06-11-1980,TE,98247,yes
795,Ashlyn,Schinner,M,21-10-1977,,102601,no
454,Carmen,Lind,F,08-04-1997,TE,147651,no
757,Toma,Leuschke,,31-05-1999,,90620,yes
403,Audry,Dickinson,F,15-04-1977,PE,60869,yes
785,Bridgette,Ward,F,13-07-1992,PE,77710,yes
948,Dorsey,Runte,M,25-04-1982,PE,84865,yes
439,Jesenia,Nicolas,M,28-02-1979,PE,89252,yes
919,Gerda,Hane,F,02-07-1994,PE,140632,no
766,Jace,Russel,,29-11-1998,,71119,yes
678,Juliet,Hagenes,,19-08-1979,PE,83360,yes
301,Leonore,Stroman,M,18-02-1991,PE,58179,yes
905,Devon,Kozey,M,01-06-1973,,66593,yes
31,Teddy,Rath,M,17-02-1990,PE,109005,no
469,Patric,O'Hara,F,17-03-1973,PE,120552,no
687,Willie,Runte,,10-07-1998,,143318,no
743,Baker,Auer,F,28-12-1986,PE,72467,yes
710,Donato,Vandervort,M,18-09-1985,PE,141040,no
593,Syble,Ebert,,05-11-1994,PE,117818,no
228,Newt,Kertzmann,F,14-05-1997,PE,80860,yes
748,Nevin,Nicolas,F,30-08-1989,TE,81635,yes
805,Tommie,Kreiger,F,19-02-1981,CA,139040,no
46,Tyrese,Eichmann,F,18-07-1982,,81777,yes
841,Kimber,Larson,F,24-03-1998,PE,149164,no
773,Dijon,Brakus,F,17-08-1982,,129734,no
750,Mozelle,Ullrich,M,08-06-1999,PE,149146,no
214,Gail,Erdman,F,23-10-1975,PE,84614,yes
779,Alannah,Spencer,M,02-08-1978,PE,55923,yes
373,Almond,Waters,M,15-04-1973,PE,93094,yes
710,Eldred,Kshlerin,F,24-09-1975,PE,92262,yes
645,Clearence,Turner,M,17-05-1997,PE,98536,yes
24,Ariella,Runte,F,26-12-1993,PE,107325,no
845,Wendel,Dibbert,F,02-08-1992,PE,144099,no
690,Markel,Beer,M,05-08-1997,PE,95954,yes
956,Williemae,Nikolaus,M,10-03-1973,PE,117500,no
188,Fenton,Block,F,23-02-1990,PE,119342,no
882,Christeen,Borer,M,12-09-1981,PE,133983,no
105,Christa,Buckridge,M,23-05-1998,PE,139709,no
486,Kelby,Hessel,M,21-06-1972,PE,103945,no
520,Sky,Collins,,28-04-1984,CA,137270,no
578,Raheem,Rogahn,M,05-09-1997,,119569,no
892,Sonji,King,,09-12-1981,PE,107375,no
696,Marco,Heidenreich,M,14-08-1978,PE,59639,yes
26,Albertus,Bernier,,06-01-1989,PE,101017,no
520,Hazel,Bruen,F,19-01-1980,,89167,yes
965,Janell,Heaney,F,09-06-1991,PE,80659,yes
278,Lorelei,Spencer,M,10-02-1973,PE,126556,no
892,Oline,Hagenes,F,25-02-1980,,124195,no
49,Jordyn,Connelly,F,10-11-1990,PE,124399,no
550,Dove,Runolfsdottir,F,04-03-1972,PE,137960,no
259,Cain,Rath,,30-12-1980,PE,148413,no
870,Shaniece,Kovacek,M,27-12-1990,PE,144102,no
8,Alvy,Beahan,,05-08-1993,PE,66519,yes
74,Marlin,Collins,F,26-02-1981,PE,85519,yes
442,Jazmine,Goyette,,15-02-1990,,67732,yes
919,Michial,Oberbrunner,M,26-08-1983,PE,142240,no
639,Dulcie,Lemke,F,15-05-1970,,59796,yes
611,Weldon,Cronin,M,26-12-1988,PE,83682,yes
279,Alaina,Klocko,F,07-09-1981,PE,125133,no
445,Woodson,Bins,F,14-03-1992,PE,113482,no
109,Odin,Metz,M,05-11-1999,PE,91335,yes
67,Marcy,Schuppe,M,31-12-1983,,142081,no
462,Maddux,Fahey,M,01-07-1973,PE,74497,yes
976,Cinthia,Kutch,,02-09-1993,PE,121833,no
69,Shaneka,Powlowski,,21-03-1995,PE,103204,no
35,Virgia,Feil,,19-09-1987,TE,59488,yes
747,Gladys,Morissette,F,04-08-1987,PE,133905,no
183,Heyward,Mueller,M,07-11-1984,,118215,no
888,Byrdie,Rolfson,F,17-04-1988,,56176,yes
693,Hakim,Towne,F,05-01-1975,PE,132437,no
611,Deetta,Lowe,F,11-01-1971,PE,107681,no
77,Baldwin,Osinski,,08-08-1993,PE,72896,yes
276,Hart,Kunze,M,08-09-1974,CA,73245,yes
492,Edwin,Graham,M,02-05-1997,PE,138471,no
202,Amarion,Tromp,,05-01-1970,CA,146723,no
900,Izaiah,West,F,04-02-1994,TE,95099,yes
329,Jailene,Lakin,M,10-11-1987,CA,97618,yes
527,Dolly,Ryan,,26-03-1992,CA,120725,no
436,Anahi,Will,,11-07-1981,PE,127531,no
91,Ethelyn,Romaguera,,15-04-1994,PE,90500,yes
325,Latifah,Howe,M,22-03-1994,TE,81518,yes
208,Nancie,Smith,F,12-03-1998,PE,107216,no
211,Alyce,Haag,M,05-10-1979,PE,106761,no
583,Jayce,Kub,,29-05-1982,PE,97761,yes
460,Abbey,Fahey,F,27-08-1982,,124621,no
886,Baby,Towne,F,14-09-1983,TE,95548,yes
960,Madonna,Schmeler,,20-06-1972,PE,94692,yes
533,Algernon,Spencer,,30-03-1983,PE,72979,yes
391,Iesha,Marvin,,27-06-1986,CA,128357,no
749,Hartley,Harber,,05-05-1978,,148713,no
825,Loris,Volkman,M,26-07-1994,CA,83511,yes
492,Sidney,Reilly,,11-02-1977,TE,67500,yes
619,Dijon,Kohler,,02-07-1988,,82779,yes
674,Delpha,Frami,F,02-06-1986,PE,95014,yes
578,Lenord,Mraz,M,25-06-1997,PE,102116,no
713,Ula,Rogahn,M,01-04-1997,,97009,yes
411,Royal,Balistreri,,24-04-1981,PE,112817,no
237,Leora,Tromp,M,13-06-1984,TE,84218,yes
10,Pate,Weber,F,03-01-1992,PE,71722,yes
957,Damon,Rutherford,M,24-02-1976,CA,91380,yes
307,Colt,Schmitt,F,31-07-1990,,79093,yes
101,Khalilah,Flatley,M,31-03-1974,PE,91171,yes
667,Hymen,Kub,M,17-01-1982,PE,64141,yes
195,Mustafa,Emard,M,16-03-1972,PE,55003,yes
963,Burley,Lakin,F,06-12-1971,CA,116648,no
566,Minor,Bradtke,,28-01-1978,CA,111715,no
212,Fredy,Mraz,F,05-05-1994,PE,104426,no
922,Errol,Pfeffer,M,17-01-1992,,91406,yes
992,Oda,Becker,M,22-06-1980,PE,76005,yes
893,Janiah,Little,F,03-12-1978,PE,142787,no
798,Clinton,Morar,M,05-09-1991,PE,118143,no
503,Patrick,Boehm,,23-10-1989,,111033,no
580,Rashaan,Mills,M,16-05-1997,PE,72516,yes
813,Laura,Hartmann,F,05-12-1988,PE,63915,yes
812,Sincere,Russel,F,21-10-1996,PE,139171,no
491,Chelsi,Parisian,M,24-02-1987,PE,142266,no
866,Nadine,Bednar,F,26-08-1978,PE,128460,no
389,Skyla,Kris,M,02-02-1971,CA,149507,no
808,Aleah,Bosco,M,13-04-1976,PE,67831,yes
269,Mabel,VonRueden,M,21-01-1979,PE,76933,yes
116,Dionte,Hettinger,,21-09-1995,,96590,yes
206,Ardell,Swift,F,15-06-1997,PE,146257,no
89,Yuridia,Rodriguez,,22-01-1984,TE,129460,no
686,Jedidiah,Carroll,M,16-02-1976,PE,124095,no
429,Izetta,Keeling,M,12-06-1973,,138064,no
235,Eugenie,Senger,M,19-10-1998,TE,125441,no
450,Carrol,Little,M,02-12-1982,PE,75423,yes
714,Sylvan,Spinka,F,09-11-1985,PE,94445,yes
299,Alvin,Marvin,F,21-07-1989,,109310,no
556,Kahlil,Glover,M,19-02-1983,TE,70487,yes
187,Audie,Weimann,F,14-11-1972,PE,118431,no
24,Abbott,Rippin,F,11-03-1984,PE,93348,yes
350,Wanda,Cartwright,M,09-09-1981,PE,87829,yes
165,Bennett,Bahringer,M,16-04-1971,PE,66507,yes
643,Stella,Homenick,M,29-09-1975,PE,149108,no
794,Daniel,Zboncak,M,23-10-1984,PE,97560,yes
274,Salina,Hammes,F,16-04-1979,TE,122286,no
366,Jaimee,Ryan,M,14-05-1983,PE,65156,yes
552,Sydni,Rutherford,,27-12-1995,PE,123683,no
997,Andrew,Schulist,F,02-01-1971,PE,101940,no
376,Kyle,Ankunding,F,31-08-1980,PE,146364,no
622,Marley,Okuneva,F,27-10-1978,PE,146836,no
296,Isiah,Crist,,12-10-1984,CA,85347,yes
659,Tatyana,Cassin,M,04-02-1987,TE,62908,yes
511,Mace,Cormier,M,29-05-1993,PE,122923,no
870,Jacquez,Gutmann,F,20-01-1979,TE,75846,yes
852,Alston,Bauch,,04-12-1979,PE,109846,no
457,Kaelynn,Pollich,M,02-12-1995,CA,148552,no
751,Brooke,Morar,F,01-08-1983,PE,126294,no
132,Keira,Lubowitz,M,27-01-1986,PE,137921,no
966,Donal,Fay,M,27-05-1998,CA,64259,yes
11,Buna,Connelly,M,01-01-1990,PE,148038,no
691,Georgie,Friesen,F,14-07-1986,PE,125873,no
346,Albertus,Littel,M,06-03-1994,,55958,yes
482,Rahn,Gusikowski,,02-04-1989,CA,124691,no
707,Leesa,Friesen,M,18-09-1996,,80722,yes
110,Metta,Trantow,,21-12-1977,PE,122444,no
606,Stafford,King,M,12-12-1996,,60367,yes
581,Tobi,Cummings,M,07-10-1990,TE,135521,no
491,Cherelle,Waelchi,M,05-07-1982,PE,56568,yes
304,Iesha,Franecki,M,16-07-1975,TE,100401,no
75,Donat,Ryan,M,15-07-1978,PE,88653,yes
483,Melissia,Strosin,F,13-12-1973,PE,100176,no
892,Celestine,Walker,M,12-10-1972,CA,83549,yes
332,Alston,Grimes,M,14-05-1977,CA,118206,no
447,Francies,Schoen,F,04-11-1993,PE,94327,yes
713,Kaci,Berge,,22-03-1990,PE,72666,yes
541,Claire,Kiehn,M,07-12-1976,PE,70316,yes
92,Love,Bode,F,16-08-1990,PE,101786,no
587,Sherrie,Hudson,,04-10-1970,PE,145960,no
766,Johathan,Cruickshank,M,31-07-1982,CA,130472,no
85,Galilea,Waters,,24-07-1970,PE,135774,no
667,Tasia,Nitzsche,F,06-03-1972,PE,117011,no
138,Freddie,Emmerich,M,19-12-1987,,138387,no
812,Kayley,Walker,,13-08-1981,,89921,yes
910,Violet,Metz,M,09-03-1978,CA,106724,no
499,Cheyanne,Wiza,M,08-03-1995,PE,117399,no
814,Jarrod,Williamson,F,24-07-1989,PE,126979,no
762,Dolores,Trantow,F,24-05-1999,PE,117449,no
377,Corry,Wehner,M,08-04-1984,PE,93686,yes
607,Taj,Cole,,11-12-1994,PE,92292,yes
160,Denice,Hayes,,17-06-1976,PE,115752,no
112,Elease,Torp,F,31-01-1990,PE,89048,yes
87,Citlalli,Dach,F,02-07-1993,PE,133519,no
880,Shelly,Konopelski,M,28-05-1990,PE,111792,no
501,Raquan,Schmeler,F,31-05-1990,CA,137343,no
447,Marin,Schowalter,,23-10-1981,CA,119484,no
235,Melody,Farrell,M,05-06-1981,PE,89670,yes
894,Virgie,Bradtke,M,06-10-1994,PE,86863,yes
718,Lindy,Gottlieb,M,25-02-1994,PE,66430,yes
57,Odie,Veum,F,23-07-1988,,85210,yes
870,Dillan,Turcotte,M,29-07-1995,PE,68520,yes
71,Bobbie,Kessler,F,03-09-1970,TE,119641,no
418,Doreen,Baumbach,F,29-03-1980,PE,55033,yes
707,Erling,Nienow,F,31-12-1970,,94938,yes
723,Williemae,Wilkinson,M,22-10-1987,PE,106398,no
692,Val,Schmitt,M,06-05-1977,PE,132677,no
712,Damian,Marvin,F,21-05-1975,PE,135791,no
686,Charlsie,Hirthe,M,15-08-1975,PE,62393,yes
144,Tracey,Lebsack,F,24-04-1975,CA,72866,yes
656,Isabel,Hilpert,M,01-03-1977,CA,64781,yes
999,Maceo,Wisoky,M,12-11-1983,PE,142838,no
606,Jonell,Frami,M,30-03-1989,PE,64124,yes
57,Shelli,Hettinger,,18-09-1976,PE,95690,yes
692,London,Denesik,M,05-01-1992,CA,72160,yes
62,Ivonne,Langworth,F,01-03-1977,TE,132528,no
515,Adelard,Abshire,F,15-12-1973,PE,66031,yes
419,Royal,Leffler,F,18-12-1998,PE,143991,no
565,North,McLaughlin,F,31-10-1988,PE,128329,no
573,Laverne,Schiller,F,05-03-1976,PE,131800,no
398,Chase,Goyette,F,16-12-1982,CA,149717,no
318,Makena,Heidenreich,M,27-08-1974,CA,95112,yes
